experiment	checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
tf_train_base_new_input_bs_lr_ema_weights	20260728	20260729	20260729	click	0.741366	0.697300	0.689100	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608280201
tf_train_base_new_input_bs_lr_ema_weights	20260728	20260729	20260729	ext	0.835513	0.792800	0.785000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608280201
tf_train_base_new_input_bs_lr_ema_weights	20260729	20260730	20260730	buy	0.832166	0.706300	0.699400	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608280251
tf_train_base_new_input_bs_lr_ema_weights	20260729	20260730	20260730	cat	0.823870	0.709200	0.701100	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608280251
tf_train_base_new_input_bs_lr_ema_weights	20260729	20260730	20260730	click	0.744108	0.696300	0.688500	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608280251
tf_train_base_new_input_bs_lr_ema_weights	20260729	20260730	20260730	ext	0.845479	0.789100	0.785500	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608280251
tf_train_base_new_input_bs_lr_ema_weights	20260730	20260731	20260731	buy	0.831147	0.710000	0.704300	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608280342
tf_train_base_new_input_bs_lr_ema_weights	20260730	20260731	20260731	cat	0.821456	0.711500	0.704900	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608280342
tf_train_base_new_input_bs_lr_ema_weights	20260730	20260731	20260731	click	0.745472	0.700100	0.692900	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608280342
tf_train_base_new_input_bs_lr_ema_weights	20260730	20260731	20260731	ext	0.843261	0.810800	0.810300	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608280342
tf_train_base_new_input_bs_lr_ema_weights	20260731	20260801	20260801	buy	0.826586	0.708300	0.700000	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608280446
tf_train_base_new_input_bs_lr_ema_weights	20260731	20260801	20260801	cat	0.822956	0.709800	0.701400	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608280446
tf_train_base_new_input_bs_lr_ema_weights	20260731	20260801	20260801	click	0.749969	0.699000	0.690300	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608280446
tf_train_base_new_input_bs_lr_ema_weights	20260731	20260801	20260801	ext	0.840537	0.803600	0.800900	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608280446
